match,side,line,odds,pred_mean,p_poisson,p_negbin,edge_poisson,edge_negbin,delta_edge
Real Sociedad vs Getafe,over,50.000000,2.150000,42.473411,0.111143,0.305186,-0.318565,-0.124522,0.194043
Real Sociedad vs Getafe,over,50.500000,2.220000,42.473411,0.111143,0.305186,-0.301555,-0.107512,0.194043
Real Sociedad vs Getafe,over,51.000000,2.370000,42.473411,0.086176,0.298166,-0.299834,-0.087844,0.211989
Real Sociedad vs Getafe,over,51.500000,2.470000,42.473411,0.086176,0.298166,-0.283721,-0.071732,0.211989
Real Sociedad vs Getafe,over,52.000000,2.670000,42.473411,0.065784,0.291307,-0.276581,-0.051057,0.225524
Real Sociedad vs Getafe,over,52.500000,2.770000,42.473411,0.065784,0.291307,-0.265134,-0.039611,0.225524
Real Sociedad vs Getafe,under,44.500000,2.820000,42.473411,0.630802,0.649083,0.307061,0.325342,0.018281
Real Sociedad vs Getafe,under,45.000000,2.700000,42.473411,0.685945,0.657155,0.347710,0.318920,-0.028790
Real Sociedad vs Getafe,under,45.500000,2.500000,42.473411,0.685945,0.657155,0.320463,0.291673,-0.028790
Real Sociedad vs Getafe,under,46.000000,2.390000,42.473411,0.736861,0.665042,0.354432,0.282613,-0.071819
Real Sociedad vs Getafe,under,46.500000,2.230000,42.473411,0.736861,0.665042,0.326808,0.254989,-0.071819
Real Sociedad vs Getafe,under,47.000000,2.160000,42.473411,0.782873,0.672746,0.354301,0.244175,-0.110126
Real Sociedad vs Getafe,under,47.500000,2.040000,42.473411,0.782873,0.672746,0.328327,0.218201,-0.110126
Real Sociedad vs Getafe,under,48.000000,1.940000,42.473411,0.823587,0.680274,0.346498,0.203185,-0.143313
Real Sociedad vs Getafe,under,48.500000,1.850000,42.473411,0.823587,0.680274,0.323587,0.180274,-0.143313
Real Sociedad vs Getafe,under,49.000000,1.770000,42.473411,0.858878,0.687629,0.335967,0.164718,-0.171249
Real Sociedad vs Getafe,under,49.500000,1.700000,42.473411,0.858878,0.687629,0.314642,0.143393,-0.171249
Real Sociedad vs Getafe,under,50.000000,1.620000,42.473411,0.888857,0.694814,0.318565,0.124522,-0.194043
Real Sociedad vs Getafe,under,50.500000,1.560000,42.473411,0.888857,0.694814,0.301555,0.107512,-0.194043
Real Sociedad vs Getafe,under,51.000000,1.490000,42.473411,0.913824,0.701834,0.299834,0.087844,-0.211989
Real Sociedad vs Getafe,under,51.500000,1.450000,42.473411,0.913824,0.701834,0.283721,0.071732,-0.211989
Real Sociedad vs Getafe,under,52.000000,1.390000,42.473411,0.934216,0.708693,0.276581,0.051057,-0.225524
Real Sociedad vs Getafe,under,52.500000,1.370000,42.473411,0.934216,0.708693,0.265134,0.039611,-0.225524
